Title,Score
Tonikaku Kawaii: SNS,8.03
xxxHOLiC Shunmuki,8.03
Summer Wars,8.02
Wan Sheng Jie 2,8.02
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku OVA,8.02
Kara no Kyoukai Movie 3: Tsuukaku Zanryuu,8.02
Kono Subarashii Sekai ni Shukufuku wo! 2: Kono Subarashii Geijutsu ni Shukufuku wo!,8.02
Black Lagoon: Roberta's Blood Trail,8.02
Full Metal Panic? Fumoffu,8.02
Ginga Nagareboshi Gin,8.02
Baby Steps 2nd Season,8.01
BanG Dream! 3rd Season,8.01
Black Clover: Mahou Tei no Ken,8.01
Boku no Hero Academia 3rd Season,8.01
D.Gray-man,8.01
Hibike! Euphonium,8.01
SK∞,8.01
Slayers Next,8.01
Toaru Kagaku no Railgun S,8.01
Wan Sheng Jie 3,8.01
Juuni Kokuki,8.01
Kimi ni Todoke,8.01
Magi: The Labyrinth of Magic,8.01
Omae Umasou da na,8.01
Pui Pui Molcar,8.01
Saiunkoku Monogatari 2nd Season,8.01
Shadows House 2nd Season,8.01
Kaichou wa Maid-sama!,8.0
Kara no Kyoukai Movie: Mirai Fukuin,8.0
Kidou Senshi Gundam: Dai 08 MS Shoutai,8.0
Meitantei Conan Movie 15: Chinmoku no Quarter,8.0
Naruto,8.0
Evangelion Movie 1: Jo,8.0
Eve no Jikan,8.0
Fullmetal Alchemist: Brotherhood Specials,8.0
Tokyo Magnitude 8.0,8.0
Tsumiki no Ie,8.0
Yahari Ore no Seishun Love Comedy wa Machigatteiru.,8.0
Zombieland Saga Revenge,8.0
Shokugeki no Souma: San no Sara,7.99
Wolf's Rain OVA,7.99
Kami nomi zo Shiru Sekai: Megami-hen,7.99
Kidou Keisatsu Patlabor 2 the Movie,7.99
Kimi ni Todoke 2nd Season,7.99
Romantic Killer,7.99
Aria the OVA: Arietta,7.99
Clannad,7.99
ef: A Tale of Melodies.,7.99
Hachimitsu to Clover,7.99
Hanma Baki: Son of Ogre 2nd Season,7.99
5-toubun no Hanayome∽,7.98
Aria the Benedizione,7.98
Bungou Stray Dogs Wan!,7.98
Durarara!!x2 Shou,7.98
Hanada Shounen-shi,7.98
Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen,7.98
Touch,7.98
xxxHOLiC,7.98
