,Title,Score
320,Stranger: Mukou Hadan,8.25
321,Tonari no Totoro,8.25
322,World Trigger 3rd Season,8.25
323,Tanoshii Muumin Ikka,8.24
324,Yubisaki to Renren,8.24
325,Bakemono no Ko,8.24
326,Doraemon Movie 31: Shin Nobita to Tetsujin Heidan - Habatake Tenshi-tachi,8.24
327,Golden Kamuy 2nd Season,8.24
328,Gyakkyou Burai Kaiji: Hakairoku-hen,8.24
329,Hajime no Ippo: Mashiba vs. Kimura,8.24
330,Meitantei Conan: Episode One - Chiisaku Natta Meitantei,8.24
331,Non Non Biyori Movie: Vacation,8.24
332,Sennen Joyuu,8.24
333,Kidou Senshi Gundam: Tekketsu no Orphans 2nd Season,8.23
334,Kimetsu no Yaiba: Katanakaji no Sato-hen,8.23
335,Nodame Cantabile Finale,8.23
336,Re:Zero kara Hajimeru Isekai Seikatsu,8.23
337,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,8.23
338,Wu Liuqi: Zui Qiang Fa Xing Shi,8.23
339,Youjo Senki Movie,8.23
340,Danshi Koukousei no Nichijou,8.23
341,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka IV: Fuka Shou - Yakusai-hen,8.23
342,Fairy Tail: 100-nen Quest,8.23
343,Haikyuu!! Movie 4: Concept no Tatakai,8.23
344,IDOLiSH7 Third Beat!,8.23
345,Doupo Cangqiong 4th Season,8.22
346,Kamisama Hajimemashita◎,8.22
347,Kimetsu no Yaiba: Hashira Geiko-hen,8.22
348,Kono Sekai no Katasumi ni,8.22
349,Mahou Shoujo Madoka★Magica Movie 1: Hajimari no Monogatari,8.22
350,Majo no Takkyuubin,8.22
351,Major S3,8.22
352,Mimi wo Sumaseba,8.22
353,Ookami to Koushinryou,8.22
354,Sasaki to Miyano,8.22
355,Shen Yin Wangzuo 2nd Season,8.22
356,Shoujo Shuumatsu Ryokou,8.22
357,Tengoku Daimakyou,8.22
358,Trigun,8.22
359,Shoujo Kakumei Utena,8.21
360,SKET Dance,8.21
361,Tunshi Xingkong 4th Season,8.21
362,xxxHOLiC◆Kei,8.21
363,BanG Dream! It's MyGO!!!!!,8.21
364,Bungou Stray Dogs 3rd Season,8.21
365,Cardcaptor Sakura Movie 2: Fuuin Sareta Card,8.21
366,Fate/strange Fake: Whispers of Dawn,8.21
367,Fruits Basket 1st Season,8.21
368,Great Pretender,8.21
369,Kaguya-hime no Monogatari,8.21
370,Kuroko no Basket 2nd Season,8.21
371,Liz to Aoi Tori,8.21
372,Magi: The Kingdom of Magic,8.21
373,Major S1,8.21
374,Quanzhi Gaoshou Specials,8.21
375,Meitantei Conan Movie 13: Shikkoku no Chaser,8.2
376,One Piece Movie 14: Stampede,8.2
377,ReLIFE: Kanketsu-hen,8.2
378,Saiki Kusuo no Ψ-nan: Kanketsu-hen,8.2
379,Vanitas no Karte Part 2,8.2
380,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,8.2
381,Berserk: Ougon Jidai-hen III - Kourin,8.2
382,Horimiya,8.2
383,InuYasha: Kanketsu-hen,8.2
384,Asobi Asobase,8.19
385,Hachimitsu to Clover II,8.19
386,Maison Ikkoku,8.19
387,Major S4,8.19
388,Mo Dao Zu Shi Q,8.19
389,Nomad: Megalo Box 2,8.19
390,One Piece: Episode of Merry - Mou Hitori no Nakama no Monogatari,8.19
391,Senki Zesshou Symphogear XV,8.19
392,xxxHOLiC Rou,8.19
393,Sono Bisque Doll wa Koi wo Suru,8.18
394,Spy x Family Movie: Code: White,8.18
395,Stand By Me Doraemon 2,8.18
396,Yojouhan Time Machine Blues,8.18
397,Yoru wa Mijikashi Arukeyo Otome,8.18
398,Ao Ashi,8.18
399,Bakuman.,8.18
400,Ballroom e Youkoso,8.18
401,Bungou Stray Dogs 2nd Season,8.18
402,Chihayafuru,8.18
403,Dragon Ball Super: Broly,8.18
404,Dragon Ball Z,8.18
405,Fate/stay night: Unlimited Blade Works,8.18
406,Girls & Panzer Movie,8.18
407,Horimiya: Piece,8.18
408,Hunter x Hunter: Greed Island,8.18
409,Initial D Second Stage,8.18
410,Kotarou wa Hitorigurashi,8.18
411,Little Busters! Refrain,8.18
412,Major S2,8.18
413,No Game No Life: Zero,8.18
414,Non Non Biyori Repeat,8.18
415,K-On!!,8.17
416,Made in Abyss Movie 1: Tabidachi no Yoake,8.17
417,Meitantei Conan,8.17
418,Meitantei Conan Movie 20: Junkoku no Nightmare,8.17
419,Yuukoku no Moriarty,8.17
420,Black Lagoon: The Second Barrage,8.17
421,Cardcaptor Sakura,8.17
422,Digimon Adventure: Last Evolution Kizuna,8.17
423,Girls & Panzer: Saishuushou Part 3,8.17
424,Haikyuu!! Movie 3: Sainou to Sense,8.17
425,Higurashi no Naku Koro ni Kai,8.17
426,Holo no Graffiti,8.17
427,Initial D Fourth Stage,8.17
428,Akira,8.16
429,Aria the Natural,8.16
430,Dr. Stone: Ryuusui,8.16
431,Dr. Stone: Stone Wars,8.16
432,Fate/stay night Movie: Heaven's Feel - I. Presage Flower,8.16
433,Ginga Eiyuu Densetsu: Die Neue These - Seiran 2,8.16
434,"Kamisama Hajimemashita: Kamisama, Shiawase ni Naru",8.16
435,Lycoris Recoil,8.16
436,Ouran Koukou Host Club,8.16
437,Tengen Toppa Gurren Lagann Movie 1: Gurren-hen,8.16
438,Toaru Kagaku no Railgun T,8.16
439,Dr. Stone: New World,8.15
440,Eiga Daisuki Pompo-san,8.15
441,Lupin III: Cagliostro no Shiro,8.15
442,Natsume Yuujinchou: Ishi Okoshi to Ayashiki Raihousha,8.15
443,Noragami Aragoto,8.15
444,Kaiba,8.14
445,Kyoukai no Kanata Movie 2: I'll Be Here - Mirai-hen,8.14
446,Major: Message,8.14
447,Non Non Biyori Nonstop: Bukatsu wo Ganbatta,8.14
448,Shinigami Bocchan to Kuro Maid 3rd Season,8.14
449,Shokugeki no Souma,8.14
450,Tensei shitara Slime Datta Ken,8.14
451,Tsue to Tsurugi no Wistoria,8.14
452,Working!!! Lord of the Takanashi,8.14
453,Wu Liuqi: Anying Suming,8.14
454,Yi Nian Yong Heng: Chuan Cheng Pian,8.14
455,Black Clover,8.14
456,Death Parade,8.14
457,Given: Uragawa no Sonzai,8.14
458,IDOLiSH7 Second Beat!,8.14
459,Cang Yuan Tu,8.13
460,Eizouken ni wa Te wo Dasu na!,8.13
461,Ginga Eiyuu Densetsu Gaiden,8.13
462,Given Movie 1,8.13
463,Hinamatsuri,8.13
464,Interstella5555: The 5tory of The 5ecret 5tar 5ystem,8.13
465,Kidou Senshi Gundam: The Origin - Zenya Akai Suisei,8.13
466,Lupin III: Part 5,8.13
467,Nisemonogatari,8.13
468,Nodame Cantabile: Paris-hen,8.13
469,Paripi Koumei,8.13
470,Princess Tutu,8.13
471,Seirei no Moribito,8.13
472,Shikanoko Nokonoko Koshitantan,8.13
473,Skip to Loafer,8.13
474,Tokidoki Bosotto Russia-go de Dereru Tonari no Alya-san,8.13
475,Buddy Daddies,8.12
476,Gankutsuou,8.12
477,Gintama': Futon ni Haitte kara Buki Nokoshi ni Kizuite Neru ni Nerenai Toki mo Aru,8.12
478,JoJo no Kimyou na Bouken Part 6: Stone Ocean,8.12
479,Katekyou Hitman Reborn!,8.12
480,Kaze Tachinu,8.12
481,One Piece Film: Z,8.12
482,Kamisama Hajimemashita,8.11
483,Kidou Senshi Gundam 00,8.11
484,Kuragehime,8.11
485,Mahou Shoujo Lyrical Nanoha: The Movie 2nd A's,8.11
486,Meitantei Conan Movie 05: Tengoku e no Countdown,8.11
487,Meitantei Conan Movie 14: Tenkuu no Lost Ship,8.11
488,One Piece: Episode of Nami - Koukaishi no Namida to Nakama no Kizuna,8.11
489,Saiki Kusuo no Ψ-nan: Ψ-shidou-hen,8.11
